datetime,location,customer_name,order,payment_type,order_total,payment_info
2021-03-05 09:00:44,Isle of Wight,Jacob Stevens,",Flavoured iced latte - Caramel,2.75,Regular,Espresso,1.5,Regular,Flavoured latte - Hazelnut,2.55,Large,Latte,2.45,Regular,Flavoured latte - Caramel,2.55",CASH,11.80,None
2021-03-05 09:01:16,Isle of Wight,Kelly Woodward,",Hot Chocolate,1.4,,Frappes - Coffee,2.75",CASH,4.15,None
2021-03-05 09:02:16,Isle of Wight,Bruce Preston,",Mocha,2.3",CASH,2.30,None
2021-03-05 09:03:08,Isle of Wight,Tara Gonzalez,",Speciality Tea - Peppermint,1.3",CASH,1.30,None
2021-03-05 09:04:24,Isle of Wight,Rose Roberts,"Large,Flavoured latte - Hazelnut,2.85,,Smoothies - Carrot Kick,2.0,Large,Chai latte,2.6",CASH,7.45,None
2021-03-05 09:05:01,Isle of Wight,Wendell Abbott,"Large,Filter coffee,1.8,,Flavoured iced latte - Hazelnut,2.75,Regular,Flavoured latte - Caramel,2.55",CARD,7.10,"mastercard,5217567194514267"
2021-03-05 09:06:59,Isle of Wight,Frances Neilan,"Large,Flavoured latte - Hazelnut,2.85,Large,Flavoured latte - Caramel,2.85,,Speciality Tea - Camomile,1.3",CASH,7.00,None
2021-03-05 09:07:38,Isle of Wight,Curtis Burgess,"Large,Cappuccino,2.45,,Hot Chocolate,1.4,Large,Flavoured latte - Gingerbread,2.85,Regular,Americano,1.95,Regular,Espresso,1.5",CASH,10.15,None
2021-03-05 09:08:05,Isle of Wight,Ray Lopez,",Flat white,2.15,,Smoothies - Berry Beautiful,2.0,,Iced latte,2.35,,Hot Chocolate,1.4",CARD,7.90,"mastercard,52464383146191110"
2021-03-05 09:09:31,Isle of Wight,Richard Session,"Regular,Latte,2.15,,Smoothies - Berry Beautiful,2.0,,Hot Chocolate,1.4,Regular,Flavoured latte - Hazelnut,2.55",CASH,8.10,None
2021-03-05 09:10:59,Isle of Wight,Kathlene Vernon,",Iced latte,2.35",CASH,2.35,None
2021-03-05 09:11:04,Isle of Wight,Johnnie Irons,"Large,Cappuccino,2.45",CASH,2.45,None
2021-03-05 09:12:52,Isle of Wight,Michael Lopez,",Iced americano,2.15,,Speciality Tea - Darjeeling,1.3,Large,Hot chocolate,2.9",CASH,6.35,None
2021-03-05 09:13:18,Isle of Wight,Sheila Nunes,"Regular,Flavoured hot chocolate - Vanilla,2.6,,Hot Chocolate,1.4,,Speciality Tea - Camomile,1.3,,Smoothies - Berry Beautiful,2.0,Large,Hot chocolate,2.9",CARD,10.20,"discover,60118552636972210"
2021-03-05 09:14:04,Isle of Wight,Tabitha Richardson,"Large,Flavoured latte - Hazelnut,2.85,Regular,Flavoured hot chocolate - Vanilla,2.6,,Speciality Tea - Camomile,1.3",CARD,6.75,"mastercard,52724377849568510"
2021-03-05 09:15:47,Isle of Wight,Mayra Blount,"Large,Flavoured latte - Vanilla,2.85",CASH,2.85,None
2021-03-05 09:16:56,Isle of Wight,Nancy Gibson,",Flavoured iced latte - Hazelnut,2.75,Large,Hot chocolate,2.9",CASH,5.65,None
2021-03-05 09:17:45,Isle of Wight,John Lott,",Flavoured iced latte - Hazelnut,2.75,,Red Label tea,1.2",CASH,3.95,None
2021-03-05 09:18:43,Isle of Wight,Naida Black,"Regular,Americano,1.95,,Frappes - Strawberries & Cream,2.75,,Speciality Tea - Earl Grey,1.3",CASH,6.00,None
2021-03-05 09:19:57,Isle of Wight,Deshawn Boss,"Large,Chai latte,2.6,,Flavoured iced latte - Caramel,2.75",CASH,5.35,None
2021-03-05 09:20:12,Isle of Wight,Kevin Spell,",Cortado,2.05,,Speciality Tea - Peppermint,1.3,Regular,Latte,2.15",CASH,5.50,None
2021-03-05 09:21:04,Isle of Wight,Martha Hanson,",Speciality Tea - Fruit,1.3,,Speciality Tea - Peppermint,1.3,,Flavoured iced latte - Caramel,2.75,,Speciality Tea - Fruit,1.3",CASH,6.65,None
2021-03-05 09:22:37,Isle of Wight,Kevin Rollins,"Regular,Latte,2.15,Regular,Espresso,1.5,Large,Flavoured hot chocolate - Caramel,2.9,Large,Flavoured latte - Gingerbread,2.85",CASH,9.40,None
2021-03-05 09:23:07,Isle of Wight,Esmeralda Moreno,",Flavoured iced latte - Vanilla,2.75,,Flavoured iced latte - Caramel,2.75",CASH,5.50,None
2021-03-05 09:24:11,Isle of Wight,Derek Cockrell,"Large,Flavoured hot chocolate - Caramel,2.9",CASH,2.90,None
2021-03-05 09:25:41,Isle of Wight,Jose Beaufort,",Speciality Tea - English breakfast,1.3,,Flavoured iced latte - Caramel,2.75,Large,Latte,2.45,,Red Label tea,1.2",CARD,7.70,"discover,60114629314794110"
2021-03-05 09:26:07,Isle of Wight,James Creagh,"Regular,Flavoured hot chocolate - Vanilla,2.6",CASH,2.60,None
2021-03-05 09:27:42,Isle of Wight,Thomas Farris,"Large,Luxury hot chocolate,2.7,Regular,Flavoured hot chocolate - Vanilla,2.6",CARD,5.30,"mastercard,5547335787691616"
2021-03-05 09:28:03,Isle of Wight,Graig Holland,"Large,Chai latte,2.6,Regular,Filter coffee,1.5",CASH,4.10,None
2021-03-05 09:29:28,Isle of Wight,Mimi Brunner,",Flavoured iced latte - Caramel,2.75,Regular,Flavoured hot chocolate - Hazelnut,2.6,,Speciality Tea - Darjeeling,1.3",CASH,6.65,None
